TSNE_1,class
-30.485132,statue_of_liberty
-35.408726,statue_of_liberty
-7.4903884,statue_of_liberty
-19.114908,statue_of_liberty
-35.182613,statue_of_liberty
-24.727001,statue_of_liberty
-30.105104,statue_of_liberty
14.474211,statue_of_liberty
-6.693589,statue_of_liberty
-5.583596,statue_of_liberty
-35.101475,statue_of_liberty
-17.277964,statue_of_liberty
-29.040508,statue_of_liberty
-36.643467,statue_of_liberty
-35.802166,statue_of_liberty
29.832111,statue_of_liberty
-15.68602,statue_of_liberty
-23.19686,statue_of_liberty
-32.85995,statue_of_liberty
-19.59062,statue_of_liberty
-15.565363,statue_of_liberty
-35.179455,statue_of_liberty
-25.070148,statue_of_liberty
14.195098,statue_of_liberty
-29.673122,statue_of_liberty
-35.995304,statue_of_liberty
-24.722979,statue_of_liberty
8.165976,statue_of_liberty
7.2153773,statue_of_liberty
-29.666435,statue_of_liberty
-19.862247,statue_of_liberty
-20.176676,statue_of_liberty
-33.476906,statue_of_liberty
-8.033656,statue_of_liberty
-21.441761,statue_of_liberty
14.231358,statue_of_liberty
-15.403665,statue_of_liberty
29.464006,statue_of_liberty
9.776832,statue_of_liberty
-15.891802,statue_of_liberty
-5.452901,statue_of_liberty
-11.231047,statue_of_liberty
27.953665,statue_of_liberty
-12.154001,statue_of_liberty
-35.771534,statue_of_liberty
-25.227293,statue_of_liberty
1.4008323,statue_of_liberty
20.222881,statue_of_liberty
-27.080544,statue_of_liberty
-10.787799,statue_of_liberty
-23.571096,statue_of_liberty
-33.717316,statue_of_liberty
-33.56246,statue_of_liberty
-24.942535,statue_of_liberty
-27.550032,statue_of_liberty
-35.909256,statue_of_liberty
-33.73122,statue_of_liberty
27.283428,statue_of_liberty
-9.303569,statue_of_liberty
-24.928368,statue_of_liberty
21.125118,statue_of_liberty
-18.95415,statue_of_liberty
-25.833187,statue_of_liberty
-6.2106085,statue_of_liberty
18.017014,statue_of_liberty
-18.464375,statue_of_liberty
-29.310026,statue_of_liberty
-19.69232,statue_of_liberty
-18.907507,statue_of_liberty
-10.072721,statue_of_liberty
-24.013515,statue_of_liberty
14.505643,statue_of_liberty
4.006704,statue_of_liberty
-20.200575,statue_of_liberty
-22.879845,statue_of_liberty
-19.423574,statue_of_liberty
-34.34872,statue_of_liberty
-28.107416,statue_of_liberty
-20.95211,statue_of_liberty
-21.84348,statue_of_liberty
-28.560547,statue_of_liberty
-31.160936,statue_of_liberty
-4.014095,statue_of_liberty
-7.2433476,statue_of_liberty
-19.37081,statue_of_liberty
-18.743776,statue_of_liberty
-3.9871058,statue_of_liberty
-16.480911,statue_of_liberty
-27.706251,statue_of_liberty
-28.272766,statue_of_liberty
-30.843018,statue_of_liberty
-28.943308,statue_of_liberty
-17.363594,statue_of_liberty
20.831867,statue_of_liberty
-3.444326,statue_of_liberty
-20.554743,statue_of_liberty
2.5599542,statue_of_liberty
13.470243,statue_of_liberty
-24.418552,statue_of_liberty
-7.4341216,statue_of_liberty
4.9910445,eiffel_tower
20.4913,eiffel_tower
-32.451683,eiffel_tower
13.312773,eiffel_tower
35.722427,eiffel_tower
-10.552999,eiffel_tower
35.95351,eiffel_tower
16.092009,eiffel_tower
36.40395,eiffel_tower
34.67798,eiffel_tower
32.53859,eiffel_tower
5.1743536,eiffel_tower
-30.755144,eiffel_tower
-28.029287,eiffel_tower
-7.106141,eiffel_tower
21.921053,eiffel_tower
24.72042,eiffel_tower
18.869457,eiffel_tower
-32.819168,eiffel_tower
-6.5737844,eiffel_tower
15.804467,eiffel_tower
-32.49555,eiffel_tower
12.600683,eiffel_tower
-6.6387596,eiffel_tower
-15.663386,eiffel_tower
3.8913221,eiffel_tower
-5.0233593,eiffel_tower
16.539179,eiffel_tower
24.242207,eiffel_tower
17.79557,eiffel_tower
-15.930355,eiffel_tower
31.33282,eiffel_tower
-8.599903,eiffel_tower
-36.106945,eiffel_tower
35.94425,eiffel_tower
14.62316,eiffel_tower
17.960285,eiffel_tower
-27.121141,eiffel_tower
-35.4166,eiffel_tower
-15.903375,eiffel_tower
8.068879,eiffel_tower
21.286844,eiffel_tower
11.508764,eiffel_tower
12.303402,eiffel_tower
-13.74041,eiffel_tower
-29.600786,eiffel_tower
25.720642,eiffel_tower
-16.579964,eiffel_tower
9.189645,eiffel_tower
-30.946789,eiffel_tower
9.473379,eiffel_tower
-8.099545,eiffel_tower
32.585297,eiffel_tower
-28.697792,eiffel_tower
32.408577,eiffel_tower
-4.130846,eiffel_tower
-7.4033084,eiffel_tower
31.756338,eiffel_tower
-33.730396,eiffel_tower
1.8712736,eiffel_tower
14.905273,eiffel_tower
15.847105,eiffel_tower
-12.625044,eiffel_tower
22.033468,eiffel_tower
-16.525618,eiffel_tower
-35.412384,eiffel_tower
-31.759972,eiffel_tower
1.3159654,eiffel_tower
-34.647995,eiffel_tower
-34.40963,eiffel_tower
34.78073,eiffel_tower
-23.548134,eiffel_tower
32.720936,eiffel_tower
30.122042,eiffel_tower
32.991287,eiffel_tower
32.302567,eiffel_tower
24.598604,eiffel_tower
-31.9056,eiffel_tower
35.183197,eiffel_tower
5.0239115,eiffel_tower
-26.452925,eiffel_tower
1.1920716,eiffel_tower
-6.3654933,eiffel_tower
-25.17291,eiffel_tower
9.855228,eiffel_tower
-14.954851,eiffel_tower
-0.55322367,eiffel_tower
-6.3668027,eiffel_tower
-4.9643955,eiffel_tower
-7.8032293,eiffel_tower
-16.417559,eiffel_tower
-25.981304,eiffel_tower
-26.04299,eiffel_tower
13.163182,eiffel_tower
27.721561,eiffel_tower
34.26366,eiffel_tower
3.6824028,eiffel_tower
-32.074757,eiffel_tower
-18.007511,eiffel_tower
32.716457,eiffel_tower
-9.369414,stonehenge
-31.616219,stonehenge
6.5399604,stonehenge
-33.134087,stonehenge
2.8724418,stonehenge
19.999819,stonehenge
6.7688594,stonehenge
7.961904,stonehenge
-18.786236,stonehenge
-4.75344,stonehenge
-2.108812,stonehenge
26.324389,stonehenge
6.564973,stonehenge
-24.613848,stonehenge
-10.230236,stonehenge
8.072955,stonehenge
-24.428892,stonehenge
-33.685215,stonehenge
2.5616956,stonehenge
-5.5895824,stonehenge
4.302512,stonehenge
0.76333207,stonehenge
30.521873,stonehenge
3.009609,stonehenge
30.397585,stonehenge
-31.372055,stonehenge
-16.57335,stonehenge
-2.1097953,stonehenge
-13.074426,stonehenge
-4.158501,stonehenge
-15.319275,stonehenge
19.280575,stonehenge
-12.237379,stonehenge
-14.338088,stonehenge
-11.202383,stonehenge
-21.036074,stonehenge
-36.33826,stonehenge
-13.291639,stonehenge
-36.36016,stonehenge
-26.680862,stonehenge
-27.482536,stonehenge
7.058978,stonehenge
-0.9093256,stonehenge
29.492167,stonehenge
-22.493052,stonehenge
30.314522,stonehenge
-11.822932,stonehenge
-30.31024,stonehenge
-10.256105,stonehenge
6.7752843,stonehenge
30.346355,stonehenge
-20.756155,stonehenge
4.6050034,stonehenge
-14.785077,stonehenge
22.035345,stonehenge
-20.457972,stonehenge
19.04278,stonehenge
-2.6075861,stonehenge
8.56537,stonehenge
-9.269361,stonehenge
10.862723,stonehenge
-1.7021477,stonehenge
-2.7320323,stonehenge
16.204357,stonehenge
-2.635549,stonehenge
3.1439247,stonehenge
-14.3313265,stonehenge
-22.259863,stonehenge
-24.815414,stonehenge
4.7397294,stonehenge
-10.961127,stonehenge
31.087368,stonehenge
30.389189,stonehenge
24.079315,stonehenge
-32.802814,stonehenge
-13.867113,stonehenge
13.641326,stonehenge
29.036558,stonehenge
30.087934,stonehenge
19.393818,stonehenge
-1.8657076,stonehenge
-30.205948,stonehenge
14.930397,stonehenge
30.263344,stonehenge
26.534952,stonehenge
6.202701,stonehenge
-18.66019,stonehenge
-5.834121,stonehenge
20.591532,stonehenge
26.990717,stonehenge
-7.266281,stonehenge
13.0865555,stonehenge
19.295883,stonehenge
6.4403586,stonehenge
10.683305,stonehenge
-22.153765,stonehenge
-30.84469,stonehenge
19.52135,stonehenge
-31.109766,stonehenge
25.87657,stonehenge
34.64375,chichen_itza
-14.658201,chichen_itza
-3.356868,chichen_itza
35.177788,chichen_itza
18.2723,chichen_itza
31.624886,chichen_itza
-1.9493504,chichen_itza
21.52048,chichen_itza
15.222477,chichen_itza
30.687166,chichen_itza
34.491344,chichen_itza
-11.865779,chichen_itza
5.65308,chichen_itza
18.818153,chichen_itza
8.765528,chichen_itza
6.988854,chichen_itza
23.398378,chichen_itza
-14.966579,chichen_itza
36.090366,chichen_itza
29.891804,chichen_itza
-7.866452,chichen_itza
-0.54335535,chichen_itza
-4.1529827,chichen_itza
15.4240885,chichen_itza
36.569927,chichen_itza
26.261078,chichen_itza
27.44823,chichen_itza
18.03288,chichen_itza
15.502486,chichen_itza
25.421255,chichen_itza
7.3430963,chichen_itza
12.669149,chichen_itza
28.997816,chichen_itza
7.453463,chichen_itza
25.994814,chichen_itza
