TSNE1,TSNE2,class
-34.61805,1.7715801,statue_of_liberty
-40.562523,2.5713565,statue_of_liberty
-8.191492,-4.532563,statue_of_liberty
-20.62391,0.3678345,statue_of_liberty
-40.242825,2.6721354,statue_of_liberty
-27.531843,1.3468217,statue_of_liberty
-34.053913,2.780513,statue_of_liberty
17.111023,0.6606558,statue_of_liberty
-7.181973,-3.118222,statue_of_liberty
-5.8637857,-3.329299,statue_of_liberty
-40.117424,2.9337902,statue_of_liberty
-18.725657,-2.471636,statue_of_liberty
-32.718674,1.9744467,statue_of_liberty
-42.331978,2.9195554,statue_of_liberty
-41.12751,3.2738574,statue_of_liberty
35.09995,1.3907129,statue_of_liberty
-16.96985,-0.9812339,statue_of_liberty
-25.485613,-0.55660444,statue_of_liberty
-37.362072,3.1732054,statue_of_liberty
-21.272552,-0.50986725,statue_of_liberty
-16.75524,-1.0637549,statue_of_liberty
-40.210957,3.3985536,statue_of_liberty
-27.78929,1.9553165,statue_of_liberty
16.850574,-0.49063095,statue_of_liberty
-33.64168,1.7435853,statue_of_liberty
-41.384365,3.3065867,statue_of_liberty
-27.470041,1.5580677,statue_of_liberty
11.098391,-1.6325814,statue_of_liberty
9.411864,-0.84706277,statue_of_liberty
-33.497562,2.3856153,statue_of_liberty
-21.397654,0.64113367,statue_of_liberty
-21.909372,0.29188484,statue_of_liberty
-38.167824,3.3376021,statue_of_liberty
-8.51801,-2.6386359,statue_of_liberty
-23.515905,0.39266872,statue_of_liberty
16.84948,0.31781933,statue_of_liberty
-16.593718,-1.5910481,statue_of_liberty
34.06695,2.2061734,statue_of_liberty
9.911926,1.7337029,statue_of_liberty
-17.34853,-1.9919865,statue_of_liberty
-5.7152267,-2.9788008,statue_of_liberty
-11.988885,-3.7563682,statue_of_liberty
32.145992,1.87547,statue_of_liberty
-12.465286,-1.0395862,statue_of_liberty
-41.031116,2.654237,statue_of_liberty
-28.27035,0.9357954,statue_of_liberty
2.3769197,-1.8527246,statue_of_liberty
23.52039,0.64197135,statue_of_liberty
-30.38411,1.174407,statue_of_liberty
-11.010367,-2.3982263,statue_of_liberty
-26.07256,0.90299076,statue_of_liberty
-38.57838,3.2937324,statue_of_liberty
-38.31854,3.219846,statue_of_liberty
-27.93563,0.8297172,statue_of_liberty
-30.996138,1.3339962,statue_of_liberty
-41.231148,2.514843,statue_of_liberty
-38.576103,2.5086708,statue_of_liberty
31.697418,0.5689686,statue_of_liberty
-8.973259,-1.3734624,statue_of_liberty
-27.912703,0.85676265,statue_of_liberty
